"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2030","loginTest","CrossBrowserSuite","Sat Aug 02 14:19:48 IST 2025","passed","Sat Aug 02 14:19:50 IST 2025","testCases.loginTest","FirefoxTest","testCases.loginTest","loginTest"
"","2527","loginTest","CrossBrowserSuite","Sat Aug 02 14:20:04 IST 2025","passed","Sat Aug 02 14:20:06 IST 2025","testCases.loginTest","EdgeTest","testCases.loginTest","loginTest"
"","4476","logOutTest","CrossBrowserSuite","Sat Aug 02 14:19:59 IST 2025","passed","Sat Aug 02 14:20:04 IST 2025","testCases.logOutTest","EdgeTest","testCases.logOutTest","logOutTest"
"","1283","logOutTest","CrossBrowserSuite","Sat Aug 02 14:19:31 IST 2025","passed","Sat Aug 02 14:19:32 IST 2025","testCases.logOutTest","ChromeTest","testCases.logOutTest","logOutTest"
"","2644","searchandaddtowishlist","CrossBrowserSuite","Sat Aug 02 14:20:06 IST 2025","passed","Sat Aug 02 14:20:09 IST 2025","testCases.searchAndAddtoWishlistaProduct","EdgeTest","testCases.searchAndAddtoWishlistaProduct","searchandaddtowishlist"
"","3650","CreateUser","CrossBrowserSuite","Sat Aug 02 14:19:56 IST 2025","passed","Sat Aug 02 14:19:59 IST 2025","testCases.registerAnAccount","EdgeTest","testCases.registerAnAccount","CreateUser"
"","2315","loginTest","CrossBrowserSuite","Sat Aug 02 14:19:32 IST 2025","passed","Sat Aug 02 14:19:34 IST 2025","testCases.loginTest","ChromeTest","testCases.loginTest","loginTest"
"","1115","logOutTest","CrossBrowserSuite","Sat Aug 02 14:19:46 IST 2025","passed","Sat Aug 02 14:19:48 IST 2025","testCases.logOutTest","FirefoxTest","testCases.logOutTest","logOutTest"
"","1030","AddtoWishList","CrossBrowserSuite","Sat Aug 02 14:19:37 IST 2025","passed","Sat Aug 02 14:19:38 IST 2025","testCases.addToWishlist","ChromeTest","testCases.addToWishlist","AddtoWishList"
"","4043","CreateUser","CrossBrowserSuite","Sat Aug 02 14:19:26 IST 2025","passed","Sat Aug 02 14:19:30 IST 2025","testCases.registerAnAccount","ChromeTest","testCases.registerAnAccount","CreateUser"
"","1218","AddtoWishList","CrossBrowserSuite","Sat Aug 02 14:20:09 IST 2025","passed","Sat Aug 02 14:20:10 IST 2025","testCases.addToWishlist","EdgeTest","testCases.addToWishlist","AddtoWishList"
"","2013","searchandaddtowishlist","CrossBrowserSuite","Sat Aug 02 14:19:50 IST 2025","passed","Sat Aug 02 14:19:52 IST 2025","testCases.searchAndAddtoWishlistaProduct","FirefoxTest","testCases.searchAndAddtoWishlistaProduct","searchandaddtowishlist"
"","2680","searchandaddtowishlist","CrossBrowserSuite","Sat Aug 02 14:19:34 IST 2025","passed","Sat Aug 02 14:19:37 IST 2025","testCases.searchAndAddtoWishlistaProduct","ChromeTest","testCases.searchAndAddtoWishlistaProduct","searchandaddtowishlist"
"","2695","CreateUser","CrossBrowserSuite","Sat Aug 02 14:19:44 IST 2025","passed","Sat Aug 02 14:19:46 IST 2025","testCases.registerAnAccount","FirefoxTest","testCases.registerAnAccount","CreateUser"
"","492","AddtoWishList","CrossBrowserSuite","Sat Aug 02 14:19:52 IST 2025","passed","Sat Aug 02 14:19:52 IST 2025","testCases.addToWishlist","FirefoxTest","testCases.addToWishlist","AddtoWishList"
